Action: improve | review | Learn | conjugate | listen | compose | errors
Result: new | familiar | known | 0 | 0.5 | 1
sDay: sprintDay ; A/P: active | passive ; warning: starting row = 5 is fixed
ID	ACTION	RESULT	DURATION	SDAY	A/P
433	learn	k	5	8	a
434	learn	k	4	8	a
435	learn	n	6	8	a
436	learn	k	4	8	a
437	learn	k	11	8	a
438	learn	k	6	8	a
439	learn	k	6	8	a
440	learn	k	6	8	a
441	learn	k	6	8	a
442	learn	k	6	8	a
443	learn	k	9	8	a
444	learn	k	6	8	a
445	learn	k	5	8	a
446	learn	k	12	8	a
447	learn	k	5	8	a
448	learn	k	5	8	a
449	learn	k	5	8	a
450	learn	k	4	8	a
451	learn	k	6	8	a
452	learn	k	5	8	a
453	learn	n	10	8	a
454	learn	n	6	8	a
455	learn	k	5	8	a
456	learn	k	6	8	a
457	learn	k	5	8	a
458	learn	k	7	8	a
459	learn	k	6	8	a
460	learn	k	8	8	a
461	learn	k	4	8	a
462	learn	k	7	8	a
463	learn	k	7	8	a
464	learn	k	48	8	a
465	learn	k	6	8	a
466	learn	k	4	8	a
467	learn	k	5	8	a
468	learn	n	9	8	a
469	learn	f	9	8	a
470	learn	k	6	8	a
471	learn	k	5	8	a
472	learn	k	5	8	a
473	learn	f	7	8	a
474	learn	n	6	8	a
475	learn	n	6	8	a
476	learn	k	5	8	a
477	learn	k	5	8	a
478	learn	k	5	8	a
479	learn	k	6	8	a
480	learn	k	6	8	a
481	learn	k	6	8	a
482	learn	k	5	8	a
483	learn	k	5	8	a
484	learn	n	10	8	a
485	learn	k	5	8	a
486	learn	k	5	8	a
487	learn	k	5	8	a
488	learn	k	5	8	a
489	learn	k	5	8	a
490	learn	k	4	8	a
491	learn	k	5	8	a
492	learn	k	5	8	a
493	learn	k	5	8	a
494	learn	k	4	8	a
495	learn	k	6	8	a
496	learn	f	7	8	a
497	learn	k	5	8	a
498	learn	k	9	8	a
499	learn	n	8	8	a
500	learn	f	9	8	a
501	learn	k	5	8	a
502	learn	n	5	8	a
503	learn	k	6	8	a
504	learn	k	7	8	a
505	learn	k	5	8	a
506	learn	k	5	8	a
507	learn	k	6	8	a
508	learn	n	7	8	a
509	learn	k	6	8	a
510	learn	k	5	8	a
511	learn	k	6	8	a
512	learn	k	6	8	a
513	learn	k	6	8	a
514	learn	n	8	8	a
515	learn	k	4	8	a
516	learn	k	6	8	a
517	learn	k	5	8	a
518	learn	k	6	8	a
519	learn	n	7	8	a
520	learn	n	6	8	a
521	learn	k	4	8	a
522	learn	k	7	8	a
523	learn	k	6	8	a
524	learn	k	5	8	a
525	learn	k	6	8	a
526	learn	k	6	8	a
527	learn	k	4	8	a
528	learn	k	4	8	a
529	learn	k	6	8	a
530	learn	k	6	8	a
531	learn	k	6	8	a
532	learn	n	8	8	a
533	learn	k	4	8	a
534	learn	k	5	8	a
535	learn	k	39	8	a
536	learn	k	4	8	a
537	learn	k	6	8	a
538	learn	k	5	8	a
539	learn	f	7	8	a
540	learn	k	4	8	a
541	learn	k	6	8	a
542	learn	k	6	8	a
543	learn	k	5	8	a
544	learn	k	5	8	a
545	learn	k	6	8	a
546	learn	n	6	8	a
547	learn	k	5	8	a
548	learn	k	6	8	a
218	review	0	20	8	a
310	review	1	6	8	a
363	review	1	6	8	a
366	review	1	4	8	a
375	review	1	7	8	a
376	review	1	6	8	a
377	review	1	10	8	a
378	review	1	6	8	a
384	review	0	10	8	a
399	review	1	5	8	a
401	review	1	8	8	a
549	learn	k	9	8	a
550	learn	n	13	8	a
551	learn	k	9	8	a
552	learn	k	5	8	a
553	learn	k	6	8	a
554	learn	k	5	8	a
555	learn	n	11	8	a
556	learn	k	6	8	a
557	learn	k	7	8	a
558	learn	k	5	8	a
559	learn	k	9	8	a
560	learn	k	7	8	a
561	learn	n	6	8	a
562	learn	k	5	8	a
563	learn	k	6	8	a
564	learn	k	6	8	a
565	learn	k	4	8	a
566	learn	k	4	8	a
567	learn	k	28	8	a
568	learn	k	6	8	a
569	learn	k	7	8	a
570	learn	k	9	8	a
571	learn	k	5	8	a
572	learn	n	7	8	a
573	learn	k	5	8	a
574	learn	k	5	8	a
